,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
0,-118.14,34.18,47,3457,622.0,1700,579,3.5164,<1H OCEAN,226500
1,-121.97,37.54,31,1949,344.0,986,322,4.6349,<1H OCEAN,196200
2,-123.84,39.83,19,1461,340.0,515,227,1.5278,NEAR OCEAN,145800
3,-121.82,36.86,17,1573,272.0,142,55,2.1719,NEAR OCEAN,420000
4,-118.33,34.05,48,2405,527.0,1868,502,3.375,<1H OCEAN,257800
5,-122.24,38.15,10,6817,1188.0,4163,1135,4.4529,NEAR BAY,144100
6,-122.41,37.61,43,1934,303.0,847,300,4.7381,NEAR OCEAN,347400
7,-118.27,34.68,19,552,129.0,314,106,3.2125,INLAND,185400
8,-118.4,33.98,39,714,118.0,314,117,5.9856,<1H OCEAN,432100
9,-117.76,33.87,16,3182,429.0,1663,428,7.0592,<1H OCEAN,288200
10,-121.3,37.96,52,1475,238.0,736,260,3.6591,INLAND,105100
11,-117.78,33.76,25,2260,261.0,719,254,11.4537,<1H OCEAN,500001
12,-117.81,33.74,24,2696,649.0,1908,626,3.3047,<1H OCEAN,216900
13,-118.38,34.04,45,767,130.0,254,118,6.2895,<1H OCEAN,340400
14,-118.04,34.13,39,2485,382.0,1072,342,6.0878,INLAND,430200
15,-119.67,36.8,9,3712,508.0,1632,474,6.011,INLAND,163100
16,-118.39,37.37,25,3295,824.0,1477,770,1.8325,INLAND,105800
17,-117.4,34.04,17,1906,334.0,1550,338,3.025,INLAND,81800
18,-121.99,37.33,35,1802,291.0,841,315,4.8365,<1H OCEAN,313900
19,-117.18,32.7,42,1691,286.0,761,281,5.1386,NEAR OCEAN,404500
20,-121.05,38.97,12,3676,550.0,1572,510,4.8214,INLAND,201900
21,-118.4,34.17,27,3588,911.0,1891,871,3.4013,<1H OCEAN,286000
22,-121.79,37.32,6,2850,561.0,2160,581,5.5336,<1H OCEAN,241900
23,-117.05,32.81,17,1885,292.0,771,301,5.6402,<1H OCEAN,228600
24,-117.25,34.06,18,5009,1108.0,2948,963,3.0042,INLAND,106500
25,-122.13,37.75,30,414,54.0,137,50,4.975,NEAR BAY,311100
26,-118.39,34.0,35,1465,386.0,1104,345,4.056,<1H OCEAN,339100
27,-122.07,37.72,26,3204,477.0,1411,484,5.4834,NEAR BAY,295200
28,-121.96,37.71,6,8072,1050.0,3386,1062,7.2494,<1H OCEAN,336500
29,-121.98,37.36,33,1582,272.0,809,267,5.7059,<1H OCEAN,287200
30,-120.99,37.7,14,9849,1887.0,4356,1780,3.5877,INLAND,160900
31,-122.44,37.77,52,2994,736.0,1428,700,3.0766,NEAR BAY,438900
32,-117.37,33.19,18,975,382.0,650,286,1.9562,NEAR OCEAN,192500
33,-117.65,33.46,19,7034,1139.0,2824,1068,6.0873,<1H OCEAN,277300
34,-117.9,33.67,25,639,98.0,311,93,6.6833,<1H OCEAN,275900
35,-121.92,37.28,26,6201,783.0,2381,819,7.9819,<1H OCEAN,397000
36,-122.32,40.58,2,1937,350.0,756,274,3.0,INLAND,114200
37,-122.29,37.91,38,2591,424.0,905,378,5.1691,NEAR BAY,263200
38,-122.29,37.98,27,2133,347.0,850,350,5.1046,NEAR BAY,209800
39,-122.1,37.39,31,1117,304.0,591,302,3.5909,NEAR BAY,353100
40,-121.67,36.66,19,9371,1980.0,4259,1882,3.6875,<1H OCEAN,189700
41,-120.05,36.97,20,2029,427.0,983,401,1.8444,INLAND,47100
42,-118.94,35.39,27,3074,452.0,1223,452,5.4592,INLAND,139100
43,-117.14,32.91,14,3014,710.0,2165,705,3.7837,<1H OCEAN,160300
44,-117.97,33.74,18,2814,539.0,1439,493,3.599,<1H OCEAN,262000
45,-118.01,33.73,23,4095,578.0,1766,589,6.7418,<1H OCEAN,302500
46,-122.33,38.33,15,3193,468.0,1303,426,5.3017,NEAR BAY,202600
47,-119.8,36.73,45,925,231.0,797,228,1.7011,INLAND,44800
48,-121.34,37.99,11,4487,868.0,2195,780,3.9615,INLAND,194600
49,-116.48,33.8,15,3004,615.0,437,210,3.6667,INLAND,90000
50,-119.74,34.38,32,1479,287.0,830,288,5.345,NEAR OCEAN,322600
51,-117.95,33.68,27,1732,303.0,1115,308,5.5312,<1H OCEAN,239200
52,-118.23,33.93,30,1147,260.0,1219,210,2.0658,<1H OCEAN,93200
53,-122.0,38.99,39,1548,323.0,815,286,2.9489,INLAND,67500
54,-117.32,33.15,15,13245,2212.0,5495,2060,5.4904,NEAR OCEAN,262100
55,-118.15,34.12,49,1789,288.0,848,311,6.0199,<1H OCEAN,500000
56,-117.25,33.2,22,2361,618.0,1472,596,2.0625,<1H OCEAN,124500
57,-118.27,34.05,47,661,359.0,1406,307,1.3169,<1H OCEAN,112500
58,-122.08,37.92,28,2377,469.0,1068,435,4.4561,NEAR BAY,250000
59,-120.75,37.37,32,1656,317.0,1037,286,2.4964,INLAND,88800
60,-117.17,32.78,42,1104,305.0,892,270,2.2768,NEAR OCEAN,145200
61,-122.39,37.6,34,707,431.5,381,156,4.375,NEAR OCEAN,340900
62,-122.42,37.77,52,2185,656.0,1266,626,2.7794,NEAR BAY,350000
63,-117.88,33.84,31,3301,712.0,1532,682,3.7303,<1H OCEAN,223800
64,-119.74,36.76,36,912,216.0,842,219,1.4766,INLAND,52800
65,-122.07,37.64,22,5861,1516.0,5436,1463,2.5158,NEAR BAY,134900
66,-118.39,34.03,19,1450,509.0,746,437,3.1415,<1H OCEAN,55000
67,-118.13,34.08,35,2517,662.0,1883,607,2.5787,<1H OCEAN,223000
68,-117.17,32.63,26,1617,279.0,2745,250,3.5357,NEAR OCEAN,67500
69,-117.14,32.76,35,1785,493.0,965,506,2.0792,NEAR OCEAN,160000
70,-121.5,38.57,45,858,254.0,510,200,1.0114,INLAND,80000
71,-118.04,33.98,25,3040,831.0,1580,735,2.3182,<1H OCEAN,182100
72,-117.92,33.82,36,2360,405.0,1479,386,4.3583,<1H OCEAN,187200
73,-116.9,34.69,10,337,102.0,108,50,0.4999,INLAND,55000
74,-118.25,33.79,38,1730,460.0,1724,424,2.7308,NEAR OCEAN,150400
75,-122.49,38.32,17,3308,720.0,1587,632,3.2727,<1H OCEAN,176000
76,-122.82,38.38,27,2565,479.0,1227,467,4.5132,<1H OCEAN,259900
77,-117.93,33.62,34,2125,498.0,1052,468,5.6315,<1H OCEAN,484600
78,-122.44,37.73,46,3581,758.0,1670,703,4.1932,NEAR BAY,269200
79,-117.72,33.54,13,4866,812.0,1909,733,4.9821,<1H OCEAN,244800
80,-119.72,36.82,15,946,239.0,550,246,2.2639,INLAND,52500
81,-117.82,33.77,32,2308,301.0,967,320,7.0565,<1H OCEAN,324600
82,-122.29,37.55,27,3789,874.0,2243,866,4.39,NEAR OCEAN,270100
83,-122.3,37.88,46,1647,376.0,854,355,2.9,NEAR BAY,144800
84,-118.18,34.03,37,2115,580.0,2842,572,2.239,<1H OCEAN,121300
85,-118.11,33.84,36,1074,188.0,496,196,4.625,<1H OCEAN,217400
86,-117.21,32.83,36,1475,328.0,806,327,3.5078,NEAR OCEAN,166000
87,-118.27,34.1,51,3149,519.0,1082,510,6.4459,<1H OCEAN,421600
88,-115.5,32.75,13,330,72.0,822,64,3.4107,INLAND,142500
89,-118.14,34.68,33,2815,485.0,1447,489,4.2679,INLAND,119600
90,-118.2,34.04,52,1249,307.0,1223,297,2.07,<1H OCEAN,136300
91,-120.66,35.49,17,4422,945.0,2307,885,2.8285,<1H OCEAN,171300
92,-121.56,39.27,28,2332,395.0,1041,344,3.7125,INLAND,116800
93,-117.13,32.7,38,1445,392.0,1286,357,1.4632,NEAR OCEAN,80200
94,-122.17,37.71,38,890,200.0,481,198,3.244,NEAR BAY,179800
95,-116.84,32.92,20,1066,219.0,536,173,3.1607,<1H OCEAN,119300
96,-122.02,36.97,39,2124,661.0,1365,606,1.6642,NEAR OCEAN,281300
97,-116.88,34.19,38,898,259.0,106,52,1.6875,INLAND,225000
98,-117.31,33.11,7,7974,1703.0,2904,1550,4.1282,NEAR OCEAN,188100
99,-120.34,38.25,17,5497,1056.0,997,408,2.9821,INLAND,111500
100,-118.31,34.13,40,2822,443.0,907,414,7.2692,<1H OCEAN,498700
101,-122.45,37.72,46,1406,235.0,771,239,4.7143,NEAR BAY,219300
102,-121.25,38.69,24,1014,185.0,606,194,4.1607,INLAND,112800
103,-122.57,38.11,32,3521,748.0,1706,723,3.4705,NEAR BAY,228600
104,-117.13,32.74,50,1527,338.0,728,322,2.625,NEAR OCEAN,203200
105,-118.18,33.87,38,2664,626.0,1627,604,3.7527,<1H OCEAN,161900
106,-122.0,37.98,31,2030,337.0,867,341,5.0915,INLAND,193200
107,-117.34,33.15,19,5710,1423.0,4163,1406,3.0306,NEAR OCEAN,178500
108,-121.62,39.77,23,1759,366.0,788,359,1.8125,INLAND,93500
109,-122.47,37.79,52,437,105.0,194,87,2.8125,NEAR BAY,500001
110,-122.07,37.13,26,1127,199.0,543,199,4.9792,NEAR OCEAN,240000
111,-122.14,37.68,27,3337,613.0,1489,607,3.6364,NEAR BAY,219200
112,-118.39,34.17,28,2790,748.0,1351,697,3.2052,<1H OCEAN,283600
113,-119.2,34.18,27,1035,229.0,782,222,4.2212,NEAR OCEAN,185400
114,-118.03,33.93,22,3382,800.0,2688,784,3.875,<1H OCEAN,164700
115,-118.16,34.71,27,6007,998.0,2680,882,4.1719,INLAND,117200
116,-122.31,37.92,12,1895,600.0,983,519,2.5,NEAR BAY,195800
117,-118.8,34.21,16,1466,196.0,661,209,6.2893,<1H OCEAN,282700
118,-118.26,33.97,46,1521,352.0,1100,334,1.55,<1H OCEAN,100600
119,-117.83,33.67,17,2634,641.0,1454,560,3.7976,<1H OCEAN,275000
120,-116.94,33.77,14,7240,1410.0,2708,1240,2.4145,INLAND,137600
121,-117.59,33.41,17,2248,448.0,878,423,5.1298,NEAR OCEAN,246000
122,-119.69,34.43,37,2801,497.0,1150,476,5.8311,<1H OCEAN,387700
123,-117.41,34.58,10,2964,668.0,1853,609,1.6047,INLAND,73400
124,-118.11,33.83,36,1726,287.0,820,288,5.5767,<1H OCEAN,218100
125,-122.02,37.92,26,5077,640.0,1872,636,7.4713,NEAR BAY,351200
126,-117.18,32.81,28,3436,537.0,1503,498,4.7679,NEAR OCEAN,204000
127,-118.04,33.83,19,4526,830.0,2318,748,4.6681,<1H OCEAN,320700
128,-122.47,37.78,52,2951,647.0,1448,591,3.1392,NEAR BAY,422400
129,-118.38,33.91,36,2904,515.0,1463,534,5.8374,<1H OCEAN,289600
130,-118.25,33.95,48,1766,424.0,1655,420,0.9751,<1H OCEAN,95500
131,-117.64,34.05,32,1129,251.0,1378,268,3.0057,INLAND,96900
132,-122.39,37.74,42,4110,846.0,2147,674,2.5694,NEAR BAY,201000
133,-117.12,32.7,36,1011,253.0,763,226,1.8187,NEAR OCEAN,84100
134,-118.13,33.93,19,1793,447.0,1222,452,2.6862,<1H OCEAN,195800
135,-117.7,34.06,25,2054,609.0,2271,564,2.3049,INLAND,150000
136,-121.22,38.4,14,2655,441.0,1277,422,4.6989,INLAND,213800
137,-122.73,38.47,16,1834,391.0,994,390,3.7266,<1H OCEAN,156500
